번호,카테고리,제목,링크,타입,수집시간
1,경제,업비트 ‘445억 해킹 사고’ 인지 → 공지 7시간 51분 ‘늑장’,https://n.news.naver.com/mnews/article/005/0001817155,headline,20251128
2,경제,"국민연금, 9월 말 수익률 11.31%…올해 138조 7천억 원 수익",https://n.news.naver.com/mnews/article/055/0001311826,headline,20251128
3,경제,아파트 보러 갔더니 “니하오”…외국인 집주인 56%가 중국인,https://n.news.naver.com/mnews/article/028/0002778800,headline,20251128
4,경제,지난 자율주행차 사고 47건…교통안전공단 통계 최초 공개,https://n.news.naver.com/mnews/article/421/0008631187,headline,20251128
5,경제,1~10월 국세수입 37.1조 증가한 330.7조…기업 실적 개선에 법인·소득세↑,https://n.news.naver.com/mnews/article/421/0008630778,headline,20251128
6,생활/문화,10월 방한 외국인관광객 8.7% 늘어…올해 1천582만여명 K-관광,https://n.news.naver.com/mnews/article/374/0000477633,headline,20251128
7,생활/문화,역시 고원은 달라..정선 하이원 28일 스키장 개장,https://n.news.naver.com/mnews/article/016/0002564641,headline,20251128
8,생활/문화,‘2026 부산 세계도서관정보대회’ 지원 국가위원회 출범,https://n.news.naver.com/mnews/article/056/0012075511,headline,20251128
9,생활/문화,벤츠코리아 'AMG GT 63 S E' 출시…'816마력' AMG 최상위 성능,https://n.news.naver.com/mnews/article/421/0008631186,headline,20251128
10,생활/문화,12월 첫주부터 ‘겨울 서막’...내주 수요일 ‘영하 10도’ 기온 뚝,https://n.news.naver.com/mnews/article/023/0003943737,headline,20251128
11,IT/과학,PC 게임 포털도 뚫렸다…611만명 정보 유출,https://n.news.naver.com/mnews/article/215/0001232563,headline,20251128
12,IT/과학,디지털크리에이터미디어 산업 매출 5조5천억…4만3천여명 종사,https://n.news.naver.com/mnews/article/001/0015767869,headline,20251128
13,IT/과학,"네이버, 서울대병원과 의료 특화 LLM 공개...“의료 소버린 AI 실현”",https://n.news.naver.com/mnews/article/009/0005597892,headline,20251128
14,IT/과학,"넥슨, 시가총액 29조 돌파...""IP 성장 전략 성공""",https://n.news.naver.com/mnews/article/014/0005441516,headline,20251128
15,IT/과학,3G·LTE 재할당에 5G 설비투자 의무 부여 '적법' 결론,https://n.news.naver.com/mnews/article/277/0005686177,headline,20251128
16,세계,[속보] 홍콩 당국 “화재참사 진화작업 종료”…사망자 94명,https://n.news.naver.com/mnews/article/081/0003596403,headline,20251128
17,세계,"美 ""제3세계 이민 영구 중단…불법 이민 수백만명 추방할 것""",https://n.news.naver.com/mnews/article/119/0003030985,headline,20251128
18,세계,10년 사귄 여친과 내달 결혼하는데…'홍콩 아파트 화재' 순직 소방관에 애도 물결,https://n.news.naver.com/mnews/article/277/0005685755,headline,20251128
19,세계,백악관 총격사건에 격분한 트럼프 ‘우려국’ 영주권 전면 재조사 지시,https://n.news.naver.com/mnews/article/016/0002564552,headline,20251128
20,세계,"파리 루브르박물관, 내년부터 비EU 관광객만 입장료 45% 인상",https://n.news.naver.com/mnews/article/421/0008630601,headline,20251128
