번호,원본_제목,링크,타입,수집시간,카테고리,뉴스_제목,뉴스_내용,기자명,언론사,발행일자,크롤링_상태
1,업비트 ‘445억 해킹 사고’ 인지 → 공지 7시간 51분 ‘늑장’,https://n.news.naver.com/mnews/article/005/0001817155,headline,20251128,경제,업비트 ‘445억 해킹 사고’ 인지 → 공지 7시간 51분 ‘늑장’,"‘네이버와 합병행사 의식했나’ 의혹 피해 규모 ‘오락가락’ 투자자들 불안 6년 전과 같은 날 해킹 탈취 반복 국내 가상자산(암호화폐) 거래소 1위 업체 업비트에서 약 445억원 규모의 해킹 사고가 발생했다. 업비트는 피해 인지 후 7시간51분 만에 이 사실을 공개했는데, 운영사인 두나무와 네이버파이낸셜의 합병 행사를 의식한 것 아니냐는 의혹이 제기된다. 27일 두나무에 따르면 이날 오전 4시42분 업비트에서 약 445억원 규모의 가상화폐가 알 수 없는 외부 지갑으로 전송된 정황이 포착됐다. 대상 자산은 솔라나 네트워크 계열 자산인 솔라나(SOL)와 더블제로(2Z), 액세스프로토콜(ACS) 등 24종이다. 업비트는 해킹 사고 인지 직후 금융감독원과 한국인터넷진흥원(KISA)에 피해 사실을 보고했다. 해킹 인지 45분 뒤인 5시27분에 솔라나 네트워크 계열 디지털자산 입출금을 중단했다. 8시55분에는 모든 디지털자산 입출금을 중단했다. 다만 이 과정에서 중단 이유는 밝히지 않았다. 해킹",이광수 기자,국민일보,2025-11-27 18:51:11,success
2,"국민연금, 9월 말 수익률 11.31%…올해 138조 7천억 원 수익",https://n.news.naver.com/mnews/article/055/0001311826,headline,20251128,경제,"국민연금, 9월 말 수익률 11.31%…올해 138조 7천억 원 수익","▲ 국민연금공단 서울북부지역 본부 국민연금공단 기금운용본부는 올해 9월 말까지 기금 운용 수익률이 11.31%로 잠정 집계됐다고 28일 밝혔습니다. 올해 수익금은 138조 7천억 원이고, 1988년 국민연금제도가 도입된 이래 누적된 수익금은 876조 원입니다. 올해 9월 말까지 국민연금 기금 적립금은 1천361조 원으로 지난해 말 대비 148조 4천억 원 증가했습니다. 이번 성과는 국내외 주식시장에서 인공지능과 반도체 관련 종목이 강세를 보이며 전체 수익률을 견인한 결과라고 국민연금은 설명했습니다. 자산군별로 수익률은 국내 주식 47.30%, 해외주식 12.95%, 국내 채권 2.51%, 대체투자 1.46%, 해외채권 0.27%로 각각 나타났습니다. 국내 주식은 새 정부 정책에 대한 기대감과 반도체·기술주 중심의 상승세로 50%에 가까운 수익률을 기록했습니다. 해외주식도 미국 금리 인하 재개 상황에서 AI와 기술주가 두드러진 강세를 보이며 두 자릿수 수익률을 냈습니다. 국내 채권은 ",장훈경 기자,SBS,2025-11-28 15:44:57,success
3,아파트 보러 갔더니 “니하오”…외국인 집주인 56%가 중국인,https://n.news.naver.com/mnews/article/028/0002778800,headline,20251128,경제,아파트 보러 갔더니 “니하오”…외국인 집주인 56%가 중국인,"외국인 소유 주택 10만4천가구 아파트·연립·다세대가 대부분 서울 마포구 일대 아파트단지. 김명진 기자 littleprince@hani.co.kr 지난 6월 말 외국인이 국내에 보유한 주택이 약 10만4천가구로 집계됐다. 지난해 12월(10만216가구) 대비 3.8% 증가했다. 28일 국토교통부가 발표한 외국인 토지·주택 보유 통계를 보면, 6월말 외국인이 소유한 국내 주택은 10만4065가구로 나타났다. 이는 국내 전체 주택의 0.53%에 해당한다. 외국인 소유 주택수는 2023년6월 8만7천가구에서 지난해 6월 9만5천가구, 올해 6월 10만4천가구로 꾸준히 증가하고 있다. 국토교통부는 지난 8월21일 서울 전 지역과 경기도 23개 시군을 외국인 토지거래허가구역으로 지정한 점을 고려하면 올해 말까지 외국인 소유 토지와 주택의 증가율은 낮아질 것이라고 내다봤다. 주택 소유 지역은 수도권이 7만5484가구로 72.5%를 차지했다. 경기도가 4만794가구(39.2%)로 가장 많고, 이",정남구 기자,한겨레,2025-11-28 09:00:08,success
4,지난 자율주행차 사고 47건…교통안전공단 통계 최초 공개,https://n.news.naver.com/mnews/article/421/0008631187,headline,20251128,경제,지난 자율주행차 사고 47건…교통안전공단 통계 최초 공개,"주행속도 시속 30㎞ 이하 저속 구간서 주로 발생 내년엔 '차량거동' 정보까지 확대 공개 자율주행자동차 사고통계 공개 누리집 모습.(한국교통안전공단 제공)뉴스1ⓒ news1 (서울=뉴스1) 김동규 기자 = 한국교통안전공단 자동차안전연구원(TS)이 정부와 함께 국내 자율주행차 사고통계를 처음으로 공개한다. 2022년 이후 사고가 매년 증가하는 가운데 자율주행모드 운행 중 사고가 전체의 35%에 이르는 것으로 나타나, 안전성 확보를 위한 체계적 데이터 공개가 본격화됐다는 평가다. TS 자동차안전연구원은 28일 국토교통부와 함께 자율주행차 사고 정보를 정례적으로 공개한다고 밝혔다. 제한적으로 관리되던 사고 데이터를 투명하게 공개하는 것은 이번이 처음으로, 자율주행차 상용화를 앞두고 국민 신뢰도를 높이기 위한 조치다. 사고통계는 '자율주행자동차 사고조사위원회' 누리집을 통해 확인할 수 있다. TS는 제작사로부터 제출받는 자율주행차 교통사고 신고서를 바탕으로 △연도 △운행모드 △시간대 △날씨",김동규 기자,뉴스1,2025-11-28 13:47:35,success
5,1~10월 국세수입 37.1조 증가한 330.7조…기업 실적 개선에 법인·소득세↑,https://n.news.naver.com/mnews/article/421/0008630778,headline,20251128,경제,1~10월 국세수입 37.1조 증가한 330.7조…기업 실적 개선에 법인·소득세↑,"10월 세수 전년比 2.8조 늘어…법인세 7000억·소득세 9000억↑ 진도율 88.9%, 전년比 1.7%p↑…5년 평균과 유사 ⓒ News1 윤주희 디자이너 (세종=뉴스1) 임용우 기자 = 올해 1~10월 국세 수입이 지난해 같은 기간보다 37조 1000억 원 늘어난 것으로 집계됐다. 지난해와 올해 상반기 기업 실적 개선, 성과급 지급 확대 등이 이어지며 법인세와 소득세가 크게 증가한 영향이다. 기획재정부가 28일 발표한 '2025년 10월 국세수입 현황'에 따르면 10월 국세 수입은 41조 1000억 원으로 전년 동월(38조 3000억 원)보다 2조 8000억 원 증가했다. 법인세는 상반기 기업 실적 개선에 따른 중소기업 중간예납 분납분 증가, 이자·배당 원천소득 증가 등으로 7000억 원 늘었다. 소득세는 근로자 수 증가와 총급여 지급액 확대에 따른 근로소득세 증가로 9000억 원 증가했다. 부가가치세는 올해 2기 예정신고분 납부 증가와 환율 상승 영향 등으로 7000억 원 증",임용우 기자,뉴스1,2025-11-28 11:00:00,success
6,10월 방한 외국인관광객 8.7% 늘어…올해 1천582만여명 K-관광,https://n.news.naver.com/mnews/article/374/0000477633,headline,20251128,생활/문화,10월 방한 외국인관광객 8.7% 늘어…올해 1천582만여명 K-관광,"[23일 종로구 조계사가 외국인 관광객들로 붐비고 있다. (사진=연합뉴스)] 지난달 한국을 찾은 외국인 관광객 수가 코로나19 이전 수준을 회복한 것으로 나타났습니다. 28일 한국관광공사의 '한국관광통계'에 따르면 10월 방한 외국인 관광객은 모두 173만9천명으로 집계됐는데, 이는 작년 같은 달보다 8.7% 늘어난 것으로, 코로나19 사태 이전인 2019년 10월(165만6천명)을 웃돌았습니다. 지역별로 보면 2019년 같은 달 대비로 유럽과 미주 대륙 관광객이 33.9% 증가했고, 일본 관광객도 27.5% 늘었고, 홍콩, 대만, 마카오 등 중화권 국가의 관광객도 코로나19 이전 수준을 넘어섰습니다. 이중 유럽과 미국 등에서 장거리로 오는 관광객들은 최근 K-문화에 대한 인기와 관련된 것으로 풀이됩니다. 작년 대비 중국 관광객이 20.5% 늘며 가장 높은 증가율을 기록했다. 중국인 무비자 입국 제도가 시행된 영향으로 보입니다. 1∼10월 방한객은 1천582만1천명으로 작년 동기 대",김종윤 기자,SBS Biz,2025-11-28 12:01:09,success
7,역시 고원은 달라..정선 하이원 28일 스키장 개장,https://n.news.naver.com/mnews/article/016/0002564641,headline,20251128,생활/문화,역시 고원은 달라..정선 하이원 28일 스키장 개장,"하이원 스키장 [헤럴드경제=함영훈 기자] 북위 39~40도의 기온을 보이는 북위 37도의 백두대간자락 하이원스키장이 28일 개장했다. 남한 스키장 중 가장 이른 시점이다. 총장 21km의 슬로프를 자랑하는 하이원은 초보자·중급자·상급자 등 다양한 난이도의 슬로프로 구성돼 있으며, 28일 개장과 동시에 아테나3-1 슬로프와 눈썰매장을 우선 오픈한다. 초급 슬로프인 아테나3-1 슬로프는 스키 입문자도 편하게 이용할 수 있으며, 마운틴 스키하우스 바로 앞에 위치한 눈썰매장은 케이블카나 리프트를 타지 않아도 돼 날씨에 구애받지 않고 이용 가능하다. 하이원은 이후 순차적으로 슬로프 총 15면, 스노우월드를 오픈하며 이번 시즌 스키장 운영을 확대해나갈 예정이다. ‘스노우월드’는 스키나 보드를 타지 않는 고객도 누구나 이용할 수 있는 겨울 체험 시설로, 가족단위 고객들을 위한 다양한 콘텐츠가 마련돼 있다. 기존 래프팅썰매, 가족썰매에 더 많은 인원이 함께 탑승할 수 있는 래프팅보트를 추가했으며,",함영훈 기자,헤럴드경제,2025-11-28 12:11:08,success
8,‘2026 부산 세계도서관정보대회’ 지원 국가위원회 출범,https://n.news.naver.com/mnews/article/056/0012075511,headline,20251128,생활/문화,‘2026 부산 세계도서관정보대회’ 지원 국가위원회 출범,"내년 부산에서 열리는 세계도서관정보대회를 지원할 위원회가 본격적으로 가동됩니다. 문화체육관광부는 오늘(28일) 오전 국회 의원회관에서 출범식을 갖고, 한국도서관협회 소속 ‘2026 부산 세계도서관정보대회(WLIC) 국가위원회’를 공식 출범한다고 밝혔습니다. 국가위원회는 국회와 중앙·지방정부, 학계, 민간에서 활동하던 전문가 16명으로 꾸려졌으며, 이들은 내년 열릴 부산 세계도서관정보대회 준비와 정책 협력 역할을 수행할 예정입니다. 공동위원장에는 차지호 더불어민주당 의원과 정연욱 국민의힘 의원이, 부위원장에는 김희섭 국립중앙도서관장·이준승 부산시 행정부시장·이지연 연세대 문헌정보학과 교수·황정근 국회도서관장이 각각 위촉됐습니다. 세계도서관정보대회는 1928년부터 시작돼 내년 90회째이며, 세계 도서관과 관련 정보 분야 전문가들이 한자리에 모여 현안을 논의하고 도서관의 미래를 그려나가는 세계 최대 규모의 국제회의입니다. 우리나라에서 세계도서관정보대회가 열리는 건 2006년 서울 대회 이",이정은 기자,KBS,2025-11-28 08:57:21,success
9,벤츠코리아 'AMG GT 63 S E' 출시…'816마력' AMG 최상위 성능,https://n.news.naver.com/mnews/article/421/0008631186,headline,20251128,생활/문화,벤츠코리아 'AMG GT 63 S E' 출시…'816마력' AMG 최상위 성능,"역대 AMG 양산차 중 가장 빠른 제로백 '2.8초' F1 레이싱카 기반한 플러그인 하이브리드 시스템 더 뉴 메르세데스-AMG GT 63 S E 퍼포먼스(자료사진. 메르세데스-벤츠 코리아 제공). (서울=뉴스1) 김성식 기자 = 메르세데스-벤츠 코리아는 28일 2세대 AMG GT 중 가장 강력한 성능을 자랑하는 '더 뉴 메르세데스-AMG GT 63 S E 퍼포먼스'를 출시했다고 밝혔다. AMG GT는 벤츠의 고성능 브랜드인 AMG 안에서도 스포츠카(GT)의 정수를 느낄 수 있는 라인업이다. 벤츠 코리아는 지난 5월 'GT 55 4MATIC+' 출시에 이어 이번엔 고성능 플러그인하이브리드 모델 'GT 63 S E 퍼포먼스'를 선보였다. 차량은 AMG의 4.0리터(L) V8 바이터보 엔진과 포뮬러1(F1) 기술에 기반한 AMG 고성능 배터리, 전기 모터로 구성된 P3 하이브리드 시스템을 탑재했다. 이를 통해 2세대 GT 중 가장 강력한 성능인 시스템 최대 출력 816마력(hp)에 최대 ",김성식 기자,뉴스1,2025-11-28 13:47:33,success
10,12월 첫주부터 ‘겨울 서막’...내주 수요일 ‘영하 10도’ 기온 뚝,https://n.news.naver.com/mnews/article/023/0003943737,headline,20251128,생활/문화,12월 첫주부터 ‘겨울 서막’...내주 수요일 ‘영하 10도’ 기온 뚝,"칼바람 속 영하권 날씨를 보인 28일 오전 서울 광화문 네거리에서 한 여성이 머플러로 얼굴을 감싼 채 출근길 발걸음을 재촉하고 있다. /뉴스1 주말 중부지방에 약한 비·눈과 함께 영하권 추위가 찾아올 것으로 전망됐다. 12월 첫주인 내주에는 기온이 최저 영하 10도까지 뚝 떨어지며 겨울의 서막을 알릴 예정이다. 기상청에 따르면, 29일 우리나라 북쪽을 통과하는 기압골의 영향으로 수도권과 강원영서에 비나 눈이 내리겠다. 예상 강수량은 1㎜ 내외다. 찬 바람의 영향으로 29일 아침 최저기온은 영하 4도에서 영상 4도, 낮 최고기온은 9~17도에 머물겠다. 일교차가 15도 이상 크게 벌어지는 곳이 많겠고, 내륙을 중심으로 비나 눈이 얼어 빙판길과 도로 살얼음이 생길 수 있어 주의해야 한다. 30일과 내달 1일에는 기온이 소폭 오르겠으나, 화요일인 2일부터 북쪽에서 영하 15도 내외의 찬 바람이 불어오며 수은주가 크게 떨어질 것으로 보인다. 30일 기온은 최저 2~12도, 최고 13~19도",박상현 기자,조선일보,2025-11-28 10:33:08,success
